"seedArray","stepsArray","humanSizeArray","zombiesSizeArray","redCrossSizeArray","redCrossActivationDelayArray","redCrossEfficiencyProbabilityArray","redCrossExhaustionProbabilityArray","redCrossInformProbabilityArray","humanDynamics0","humanDynamics1","humanDynamics2","humanDynamics3","humanDynamics4","humanDynamics5","humanDynamics6","humanDynamics7","humanDynamics8","humanDynamics9","humanDynamics10","humanDynamics11","humanDynamics12","humanDynamics13","humanDynamics14","humanDynamics15","humanDynamics16","humanDynamics17","humanDynamics18","humanDynamics19","humanDynamics20","humanDynamics21","humanDynamics22","humanDynamics23","humanDynamics24","humanDynamics25","humanDynamics26","humanDynamics27","humanDynamics28","humanDynamics29","humanDynamics30","humanDynamics31","humanDynamics32","humanDynamics33","humanDynamics34","humanDynamics35","humanDynamics36","humanDynamics37","humanDynamics38","humanDynamics39","humanDynamics40","humanDynamics41","humanDynamics42","humanDynamics43","humanDynamics44","humanDynamics45","humanDynamics46","humanDynamics47","humanDynamics48","humanDynamics49","humanDynamics50","humanDynamics51","humanDynamics52","humanDynamics53","humanDynamics54","humanDynamics55","humanDynamics56","humanDynamics57","humanDynamics58","humanDynamics59","humanDynamics60","humanDynamics61","humanDynamics62","humanDynamics63","humanDynamics64","humanDynamics65","humanDynamics66","humanDynamics67","humanDynamics68","humanDynamics69","humanDynamics70","humanDynamics71","humanDynamics72","humanDynamics73","humanDynamics74","humanDynamics75","humanDynamics76","humanDynamics77","humanDynamics78","humanDynamics79","humanDynamics80","humanDynamics81","humanDynamics82","humanDynamics83","humanDynamics84","humanDynamics85","humanDynamics86","humanDynamics87","humanDynamics88","humanDynamics89","humanDynamics90","humanDynamics91","humanDynamics92","humanDynamics93","humanDynamics94","humanDynamics95","humanDynamics96","humanDynamics97","humanDynamics98","humanDynamics99","humanDynamics100"
12,1000,220,4,15,4,1,0.6,1,220,219,219,217,195,181,165,153,138,108,90,75,64,56,52,49,47,45,45,43,42,40,39,39,39,38,36,36,30,28,27,25,25,24,23,23,23,22,21,20,20,19,19,19,18,17,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,1000,225,6,20,4,1,0.6,1,225,219,217,205,188,178,153,138,118,100,82,70,63,57,53,47,37,35,29,27,23,22,22,22,22,22,20,20,20,20,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
14,1000,228,2,17,4,1,0.6,1,228,226,223,222,221,217,210,206,200,199,194,189,183,177,172,164,164,158,157,148,127,104,89,79,61,50,43,33,32,30,24,21,19,18,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,1000,230,2,12,4,1,0.6,1,230,229,229,227,221,203,186,171,162,138,111,81,67,54,45,36,32,29,27,23,23,20,19,18,16,16,16,16,15,14,14,14,14,14,14,14,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
16,1000,234,1,10,4,1,0.6,1,234,233,231,227,225,216,206,204,193,185,170,161,136,122,96,73,56,52,45,41,33,31,28,26,23,23,23,18,18,18,17,16,15,15,14,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
17,1000,235,3,18,4,1,0.6,1,235,234,231,228,216,190,155,122,100,84,69,55,44,41,39,39,39,38,35,35,35,34,33,32,32,32,31,31,30,30,29,29,28,28,27,26,24,24,24,24,24,24,24,23,23,23,23,22,22,22,22,20,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
18,1000,240,5,10,4,1,0.6,1,240,238,237,234,229,218,204,191,179,168,160,146,140,137,130,124,114,105,90,76,64,54,44,38,31,30,27,24,22,20,20,19,19,19,18,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9
19,1000,243,2,14,4,1,0.6,1,243,239,236,228,214,200,189,174,166,149,137,121,99,80,66,57,50,47,41,39,34,33,29,29,26,26,23,17,16,16,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
20,1000,245,3,16,4,1,0.6,1,245,244,244,228,223,215,209,201,174,145,118,99,85,77,64,53,42,36,35,34,33,32,30,28,27,27,25,25,25,25,24,24,24,21,20,19,19,18,18,17,17,17,17,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
21,1000,250,4,19,4,1,0.6,1,250,250,247,239,227,212,176,149,123,101,80,70,67,59,54,52,45,42,40,40,37,33,31,31,29,28,27,26,25,25,25,24,24,23,23,23,22,22,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
22,1000,255,2,20,4,1,0.6,1,255,253,251,248,245,244,234,219,195,183,170,164,152,131,110,100,85,75,68,60,52,46,41,37,33,32,29,25,24,22,21,20,20,20,19,19,18,17,17,17,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
23,1000,260,3,20,4,1,0.6,1,260,260,260,258,239,214,205,200,188,170,149,127,99,77,64,52,46,36,32,30,30,29,26,25,24,24,22,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,1000,262,5,12,4,1,0.6,1,262,261,260,252,237,216,182,155,126,102,88,75,58,48,40,35,31,23,19,15,15,14,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
25,1000,265,4,15,4,1,0.6,1,265,260,252,248,241,228,189,155,127,113,100,88,79,68,65,57,51,37,32,28,25,24,22,21,19,18,17,17,17,17,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
26,1000,270,6,18,4,1,0.6,1,270,266,263,249,239,215,178,147,107,84,63,56,51,44,38,33,31,29,29,27,27,27,26,25,22,22,22,21,20,19,19,18,18,18,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
