evolution$generation,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,zombiesArray,rescuedArray,humansDynamicArray,evolution$samples
4200,6,1.0,0.4611157190179931,3.0,135.0,1013.0,1
4200,7,0.7621043982549986,0.45,3.0,5.0,3307.0,1
4200,4,0.7878565532279237,0.9962348888982329,16.0,14.0,3091.0,1
4200,7,0.8134823537978519,0.5702159686427324,2.5,53.0,2910.0,2
4200,3,0.8266206971120457,0.4711790747370491,4.0,83.0,1119.0,1
4200,8,0.7006681620709552,0.9597575111455612,1.0,32.0,2547.0,1
4200,6,0.8215915460171298,0.6470654551085144,3.0,94.0,1324.0,1
4200,8,0.7,0.6917742768553565,3.0,66.0,2400.0,7
4200,1,0.8847663233485795,0.4786215747093002,2.5,161.0,1822.0,4
4200,3,0.9324153397165607,0.8216026539533312,3.0,48.0,2516.0,5
4200,1,0.7015208230771902,0.8048678291956546,3.0,62.0,2490.0,5
4200,2,1.0,0.4622535498285411,5.0,19.0,2035.0,1
4200,10,0.9747060073293972,0.6870432524198526,4.0,52.0,2469.0,3
4200,2,0.9816012957902546,0.7440037969226452,0.0,144.0,1720.0,1
4200,5,0.9999999598103729,0.7468698446078385,2.0,79.0,1729.0,2
4200,1,0.9666375135812427,0.6795592634272039,3.0,100.0,1777.0,5
4200,0,0.7801610708627469,0.750324712494426,3.0,39.0,1421.0,1
4200,7,1.0,0.5078026859217224,2.0,116.0,1670.0,3
4200,8,0.7762087986439015,0.49017580707171104,3.0,15.0,2450.0,1
4200,5,0.999142280686895,0.4605971034607599,3.0,20.0,1906.0,1
4200,9,0.8755428120052073,0.45,11.0,16.0,1778.0,1
4200,10,0.9273465078127912,0.726501267566439,3.0,84.0,1613.0,3
4200,7,0.7210901446274942,0.8067810011095602,2.0,122.0,1367.0,1
4200,5,0.7940531384266176,0.8026142863162056,4.0,62.0,2107.5,4
4200,7,0.8138295384073059,0.5664207898527158,1.0,124.0,1810.0,1
4200,0,0.9602270355429587,0.4502909875405798,3.0,78.0,2271.0,13
4200,0,0.8536953631414257,0.7960832657181427,3.0,95.5,2258.0,74
4200,6,0.7261121321817494,0.45053055988583685,3.0,32.0,1434.0,1
4200,0,0.7858743524229939,0.9972137218597357,3.0,52.0,1382.0,1
4200,1,1.0,0.4559281301527238,3.5,53.5,1964.0,2
4200,7,0.7717928636594286,0.9818321638944014,3.0,92.0,2080.0,15
4200,9,0.9929611607941771,0.48004044157630993,2.0,22.0,1858.0,1
4200,6,0.8098999054089208,0.45934468796595324,0.0,142.0,1805.0,1
4200,8,1.0,0.46078804381673627,3.0,108.0,2210.0,100
4200,7,1.0,0.9477485169958185,3.0,29.0,1849.0,1
4200,4,0.7211601176521165,1.0,3.0,91.0,1803.0,4
4200,6,0.9939771013678214,0.7402415559275891,0.0,51.0,2048.0,1
4200,5,0.8323457638694938,0.5831546128583849,4.0,30.0,1757.0,1
4200,6,0.938824826881695,1.0,3.0,28.0,1856.0,1
4200,3,0.9255968792739364,0.6095732175338584,1.0,58.0,1872.0,1
4200,3,0.7014449372470041,0.8558622563620333,3.0,75.0,1845.0,8
4200,8,1.0,0.46387952832074386,3.0,20.0,1969.5,2
4200,0,0.7805042247010078,0.7504187132228467,2.5,106.5,2054.5,4
4200,0,0.9625488144268267,0.45,1.0,137.0,1686.0,1
4200,4,0.8234370578509358,0.5545264331441895,3.0,115.0,2081.0,37
4200,4,0.9852396714145577,1.0,3.0,84.0,2174.0,14
4200,9,1.0,0.5637982000327721,3.0,118.0,2143.0,100
4200,5,0.7906801487550392,0.721999840610131,3.0,100.0,2106.0,25
4200,0,0.8302940220207653,0.4704439810219635,3.0,103.0,2191.0,38
4200,1,0.8054702633893371,0.586741180304394,3.0,109.5,2147.5,38
4200,10,0.7264027276482714,0.45,3.0,92.0,2090.5,22
4200,5,0.9629648628534987,0.45,2.5,57.0,1946.5,2
4200,10,0.8201170310142823,0.6586956554560693,3.0,110.0,1977.0,19
4200,10,0.7305796027636522,0.7442950418427978,3.0,96.0,1344.0,3
4200,7,0.7471932871167182,0.5691382229011708,3.0,107.0,2168.0,27
4200,0,0.8190084764001813,0.5595507155018892,2.0,65.5,2001.0,2
4200,6,0.8186198086504654,0.993168066975707,3.0,112.0,1947.0,11
4200,0,0.7767016314067778,0.557417574855078,3.0,106.0,2044.0,11
4200,1,0.8287738028463544,0.5505273633901581,3.0,108.0,2040.5,20
4200,4,0.7632090080529312,0.6751846364597827,3.0,102.0,2209.0,53
4200,6,0.7238872467694677,0.45691842612839634,3.0,109.0,2201.0,39
4200,1,0.8008570104742925,0.6128611668596556,2.5,62.0,1917.0,2
4200,0,0.990508497932016,0.7825629023962095,3.5,57.5,1624.5,2
4200,5,0.9994997864546431,0.6759629959845695,0.0,89.0,1916.0,1
4200,0,0.8230299811939727,0.6590148326832481,1.0,37.0,1918.0,1
4200,2,0.7,0.8528148019661642,2.5,56.0,2302.0,4
4200,3,0.855819679130985,0.7742680245673207,3.0,105.5,2304.5,100
4200,5,0.835287667370992,0.7466541512176159,3.0,102.0,2228.0,65
4200,0,0.9543433744216371,0.9707408843339189,3.0,94.0,2301.5,58
4200,6,1.0,0.795128834727103,3.0,112.0,2147.0,91
4200,10,0.825276621043744,0.6459523973747427,3.0,101.0,2290.5,92
4200,1,1.0,0.720696615295209,2.0,147.5,1608.0,2
4200,0,0.9209749608192028,0.6061070181980946,3.0,105.0,2226.0,58
4200,0,0.9815581123747188,0.453947838710505,3.0,83.0,2227.0,25
4200,1,0.9481834767767874,0.6795898752148393,3.0,83.0,1977.5,10
4200,4,0.7835488666270025,0.7843173141653684,1.5,137.5,2252.0,2
4200,5,0.7729769642263914,0.6929536591685302,2.0,60.0,1810.0,1
4200,8,0.9015424122473652,0.984283753636878,2.0,67.0,1513.0,1
4200,10,0.7,0.569184481477258,3.0,86.0,2106.0,15
