seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,killed,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,250,4,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,247,6,1,0,2,35,51,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,246,7,0,0,1,38,67,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,245,8,0,0,1,63,72,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,235,12,6,0,4,116,63,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,218,19,10,0,7,154,112,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,195,30,12,0,11,187,195,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,178,35,11,1,6,177,292,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,154,45,13,1,11,166,408,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,143,48,8,0,3,126,455,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,131,53,6,1,6,63,485,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,113,54,15,2,3,46,466,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,92,54,20,1,1,18,478,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,84,53,8,1,0,28,480,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,76,52,8,1,0,18,457,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,67,52,9,0,0,20,490,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,59,50,7,3,1,12,424,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,53,48,6,2,0,1,420,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,50,44,3,4,0,12,373,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,46,40,4,4,0,7,346,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,43,37,3,3,0,27,308,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,41,36,2,1,0,9,260,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,40,32,1,4,0,2,258,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,39,30,1,2,0,3,249,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,38,29,1,1,0,2,236,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,34,29,4,0,0,9,243,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,32,27,2,2,0,15,265,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,29,26,2,2,1,13,252,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,28,25,1,1,0,8,246,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,27,23,1,2,0,5,231,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,22,1,1,0,8,193,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,20,0,2,0,6,179,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,16,0,4,0,2,147,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,13,0,3,0,1,120,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,25,13,1,0,0,2,104,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,24,11,1,2,0,0,94,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,24,10,0,1,0,0,93,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,23,9,1,1,0,0,79,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,22,7,1,2,0,0,71,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,22,6,0,1,0,0,46,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,5,1,1,0,0,28,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,4,0,1,0,0,25,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,1,0,0,6,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,14,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,3,1,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,1,0,0,25,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,0,0,0,18,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,0,0,0,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,1,0,0,0,17,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,0,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,0,19,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,6,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,6,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,4,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,4,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,1,0,4,15,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,4,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,8,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,5,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,7,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,1,0,2,3,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,1,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,250,4,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,247,6,1,0,2,35,51,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,246,7,0,0,1,38,67,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,245,8,0,0,1,63,72,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,235,12,6,0,4,116,63,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,218,19,10,0,7,154,112,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,195,30,12,0,11,187,195,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,178,35,11,1,6,177,292,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,154,45,13,1,11,166,408,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,143,48,8,0,3,126,455,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,131,53,6,1,6,63,485,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,113,54,15,2,3,46,466,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,92,54,20,1,1,18,478,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,84,53,8,1,0,28,480,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,76,52,8,1,0,18,457,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,67,52,9,0,0,20,490,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,59,50,7,3,1,12,424,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,53,48,6,2,0,1,420,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,50,44,3,4,0,12,373,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,46,40,4,4,0,7,346,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,43,37,3,3,0,27,308,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,41,36,2,1,0,9,260,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,40,32,1,4,0,2,258,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,39,30,1,2,0,3,249,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,38,29,1,1,0,2,236,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,34,29,4,0,0,9,243,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,32,27,2,2,0,15,265,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,29,26,2,2,1,13,252,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,28,25,1,1,0,8,246,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,27,23,1,2,0,5,231,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,22,1,1,0,8,193,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,20,0,2,0,6,179,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,16,0,4,0,2,147,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,26,13,0,3,0,1,120,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,25,13,1,0,0,2,104,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,24,11,1,2,0,0,94,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,24,10,0,1,0,0,93,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,23,9,1,1,0,0,79,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,22,7,1,2,0,0,71,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,22,6,0,1,0,0,46,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,5,1,1,0,0,28,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,4,0,1,0,0,25,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,1,0,0,6,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,14,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,21,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,3,1,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,1,0,0,25,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,0,0,0,18,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,0,0,0,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,1,0,0,0,17,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,0,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,0,19,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,6,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,6,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,4,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,4,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,1,0,4,15,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,4,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,8,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,5,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,7,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,1,0,2,3,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,1,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
